,Player,Position,YRS,AVG Salary,Dollars
93,Brandon Guyer (minor),LF,1.0,"$1,600,000","$1,600,000"
94,Brett Anderson,SP,1.0,"$1,500,000","$1,500,000"
95,Daniel Hudson (minor),RP,1.0,"$1,500,000","$1,500,000"
96,Marc Rzepczynski (minor),RP,1.0,"$1,500,000","$1,500,000"
97,Jerry Blevins (minor),RP,1.0,"$1,500,000","$1,500,000"
98,Brandon Maurer (minor),RP,1.0,"$1,500,000","$1,500,000"
99,Drew Pomeranz,SP,1.0,"$1,500,000","$1,500,000"
100,Cory Gearrin,RP,1.0,"$1,400,000","$1,400,000"
101,Jeremy Hellickson,SP,1.0,"$1,300,000","$1,300,000"
102,Drew Butera (minor),C,1.0,"$1,300,000","$1,300,000"
103,Hunter Strickland,RP,1.0,"$1,300,000","$1,300,000"
104,Vidal Nuno (minor),RP,1.0,"$1,300,000","$1,300,000"
105,Nick Hundley (minor),C,1.0,"$1,250,000","$1,250,000"
106,Matt Joyce (minor),LF,1.0,"$1,250,000","$1,250,000"
107,Josh Tomlin (minor),RP,1.0,"$1,250,000","$1,250,000"
108,Melky Cabrera (minor),LF,1.0,"$1,150,000","$1,150,000"
109,Caleb Joseph,C,1.0,"$1,100,000","$1,100,000"
110,Ben Revere (minor),CF,1.0,"$1,000,000","$1,000,000"
111,Dan Jennings (minor),RP,1.0,"$1,000,000","$1,000,000"
112,Adam Rosales (minor),2B,1.0,"$1,000,000","$1,000,000"
113,Ryan Flaherty (minor),3B,1.0,"$1,000,000","$1,000,000"
114,Mark Reynolds (minor),3B,1.0,"$1,000,000","$1,000,000"
115,Zach McAllister,RP,1.0,"$1,000,000","$1,000,000"
116,Gorkys Hernandez (minor),LF,1.0,"$1,000,000","$1,000,000"
117,Chris Herrmann,C,1.0,"$1,000,000","$1,000,000"
118,Jose Lobaton (minor),C,1.0,"$1,000,000","$1,000,000"
119,Matt Szczur (minor),CF,1.0,"$950,000","$950,000"
120,Xavier Cedeno (minor),RP,1.0,"$900,000","$900,000"
121,Odrisamer Despaigne (minor),RP,1.0,"$875,000","$875,000"
122,Tom Koehler (minor),RP,1.0,"$850,000","$850,000"
123,Jesus Sucre (minor),C,1.0,"$850,000","$850,000"
124,Andres Blanco (minor),3B,1.0,"$850,000","$850,000"
125,Kelby Tomlinson (minor),2B,1.0,"$850,000","$850,000"
126,Nate Karns,SP,1.0,"$800,000","$800,000"
127,Ronald Torreyes (minor),2B,1.0,"$800,000","$800,000"
128,Tony Barnette,RP,1.0,"$750,000","$750,000"
129,Cameron Rupp (minor),C,1.0,"$750,000","$750,000"
130,Alcides Escobar (minor),SS,1.0,"$700,000","$700,000"
